cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
bug_fix,b5a1a5c762f1c27b96727b7f633610083732bf8d,51d64f280f5ce05cc934b5af53f81c4d04ec7d86,fix: [sc-47166] Libraries project webhook not 100% reliable (#3542),app/workers/project_updated_worker.rb,10,10,51d64f280f5ce05cc934b5af53f81c4d04ec7d86,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,07b231a66d0f03df83df7a180d65741189bfd132,89f07f515c9023e884fc897028edbfd921226a62,Use delete instead of destroy when syncing deps to avoid db churn,app/models/package_manager/base.rb,334,334,89f07f515c9023e884fc897028edbfd921226a62,MethodNotImplementedError.save_dependencies,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,89f07f515c9023e884fc897028edbfd921226a62,0770aab445940f0e76fef1dc5271f890391e3f2c,Stop eager-loading versions for all find_project consumers,app/controllers/application_controller.rb,150,150,0770aab445940f0e76fef1dc5271f890391e3f2c,ApplicationController#find_project,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,0770aab445940f0e76fef1dc5271f890391e3f2c,12dd49e9b935eadc69ab2afeeaa92fa640984b6f,Require login for package version pages,app/controllers/projects_controller.rb,"",6,12dd49e9b935eadc69ab2afeeaa92fa640984b6f,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,8b41060e750f168829e7fdbd90780c2b86f05445,17d969526d93657b0fd938660da5114439d0770e,Make some more slower API endpoints require log in,app/controllers/api/projects_controller.rb,5,5,17d969526d93657b0fd938660da5114439d0770e,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,8b41060e750f168829e7fdbd90780c2b86f05445,17d969526d93657b0fd938660da5114439d0770e,Make some more slower API endpoints require log in,app/controllers/api/repositories_controller.rb,"",5,17d969526d93657b0fd938660da5114439d0770e,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,17d969526d93657b0fd938660da5114439d0770e,15c9ad0f8cbedf2d770c046070e54882087be71b,Bump puma 6.4.3 ~> 8.0.2 (#3603),config/puma.rb,44,44,15c9ad0f8cbedf2d770c046070e54882087be71b,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
