analysis_level,cohort_id,run_date,session_id,app_id,revision,scope,validity,operator_profile,subjects,tests_preflight,killed,alive,timeouts,mutations,runtime_seconds,killtime_seconds,source_report
project,rwr-historical-8,2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,whole_application,valid,light,111,94,1218,1880,0,3098,561.28,391.21,research/mutant-runs/trailmix-full-2026-09-09.md
project,rwr-historical-8,2026-09-10,01a08af9-9e81-74a8-b2ed-34d986ea688a,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,focused_validation,valid,light,1,99,12,0,0,12,2.62,1.68,research/mutant-runs/trailmix-subscription-paid-2026-09-10.md
project,rwr-historical-8,2026-09-10,01a08bcb-9aef-7213-aaa5-6419bafaaf01,speakerline,b71559f0fbe7c7a0e4a0bada91d6c900258e118e,whole_application,valid,light,39,66,612,594,0,1206,365.61,291.94,research/mutant-runs/speakerline-full-2026-09-10.md
project,rwr-historical-8,2026-09-12,01a09797-8bc1-7085-8b45-03562d3ffe88,klaxon,ad2cb6ca1219b94ee7b2a032308f72a3997469fc,focused_validation,valid,light,1,91,1,14,0,15,3.17,2.38,research/mutant-runs/klaxon-pagesnapshot-display-hash-2026-09-12.md
project,rwr-historical-8,2026-09-12,01a09798-3caa-7637-9d0a-cfcb57d74690,klaxon,ad2cb6ca1219b94ee7b2a032308f72a3997469fc,whole_application,invalid,light,0,91,0,0,0,0,0.11,0.00,research/mutant-runs/klaxon-whole-application-invalid-2026-09-12.md
project,historical-bug-fix-pilot,2026-09-21,not_persisted,huginn,fe300ef5087f033cf4b6f2c538cc058c72d8872b,historical_bug_fix_subject,valid,light,1,1670,1,87,0,88,12.44,6.39,research/mutant-runs/huginn-jobs-helper-agent-from-job-2026-09-21.md
project,historical-bug-fix-pilot,2026-09-21,not_persisted,huginn,52cda2bc83657b7ddef402d31ac0731b73f109f6,historical_nonfix_control_subject,valid,light,1,1866,16,10,0,26,38.85,36.97,research/mutant-runs/huginn-agent-with-execution-lock-control-2026-09-21.md
project,historical-bug-fix-pilot,2026-09-22,not_persisted,postal,d038eaa8c763d3cafa797ccd6f773d53470bd336,historical_bug_fix_subject,valid,light,1,810,1,57,0,58,150.26,145.23,research/mutant-runs/postal-logger-historical-probes-2026-09-22.md
project,historical-bug-fix-pilot,2026-09-22,not_persisted,postal,3be663dc8931bd731516bafd6edff6b0fbd03df2,historical_nonfix_control_subject,valid,light,1,810,1,57,0,58,136.74,131.96,research/mutant-runs/postal-logger-historical-probes-2026-09-22.md
